iter	MAE
0	303.7434788
1	296.784175
2	290.5569927
3	279.0911412
4	272.5781304
5	262.167763
6	252.7889921
7	246.7341067
8	236.8495274
9	232.1829999
10	222.4406589
11	213.5134124
12	207.3618782
13	199.5284709
14	195.8592465
15	189.1149771
16	184.6695394
17	181.0481032
18	174.9062892
19	170.9570745
20	165.8344404
21	160.9973456
22	156.3293853
23	152.3652828
24	148.2288378
25	145.0831108
26	143.486156
27	140.088931
28	137.9737758
29	134.9726855
30	133.0231539
31	130.4568225
32	128.0506344
33	126.5445863
34	124.3131912
35	122.2421411
36	120.7286389
37	118.6957419
38	116.7852769
39	114.9730931
40	113.4058654
41	111.8840175
42	110.524318
43	109.0375721
44	107.8200818
45	106.6597371
46	105.6245794
47	104.5705314
48	103.7431121
49	102.9339919
50	102.0613825
51	101.3051117
52	100.6231612
53	99.83811833
54	99.16315609
55	98.58779523
56	98.01584753
57	97.43333952
58	96.85544488
59	96.34701533
60	95.90177022
61	95.47742533
62	94.97948158
63	94.55541322
64	94.16719568
65	93.74166052
66	93.30571629
67	92.9538084
68	92.70600787
69	92.43654867
70	92.1653328
71	91.88712853
72	91.7807249
73	91.55471543
74	91.30565144
75	91.07596892
76	90.91991839
77	90.73269354
78	90.50561298
79	90.26058512
80	89.92544277
81	89.63814613
82	89.5152643
83	89.273261
84	89.03832262
85	88.7844659
86	88.61520519
87	88.4253142
88	88.25481427
89	88.19630351
90	88.14614836
91	88.02688655
92	87.87172408
93	87.83253144
94	87.6065747
95	87.55683059
96	87.4288512
97	87.29766142
98	87.17657057
99	86.96523479
100	86.82637028
101	86.69037354
102	86.59125094
103	86.52016096
104	86.44849893
105	86.42277835
106	86.30311376
107	86.10096668
108	86.03043192
109	85.92759522
110	85.82556731
111	85.75300086
112	85.62825932
113	85.5723607
114	85.54818404
115	85.46778174
116	85.39095171
117	85.3228231
118	85.19472758
119	85.14342496
120	84.98204931
121	84.81358803
122	84.79800634
123	84.75708188
124	84.62906486
125	84.51027122
126	84.37865304
127	84.31731994
128	84.25593582
129	84.12337135
130	83.99253132
131	83.8265981
132	83.71988712
133	83.60462612
134	83.56118623
135	83.43878462
136	83.33735958
137	83.32109887
138	83.29008008
139	83.19742101
140	83.13221404
141	83.09288104
142	82.91301769
143	82.85045503
144	82.7805891
145	82.7221535
146	82.70262834
147	82.67754305
148	82.64448198
149	82.60014992
150	82.55991224
151	82.47129827
152	82.44749374
153	82.36390311
154	82.31703606
155	82.29093602
156	82.16126002
157	82.07948771
158	81.99278479
159	81.87878809
160	81.84967853
161	81.74497383
162	81.71497494
163	81.67951013
164	81.64686819
165	81.61071857
166	81.52805818
167	81.41504971
168	81.16228122
169	81.11098227
170	81.04084953
171	81.00189152
172	80.9228014
173	80.88705165
174	80.78996833
175	80.76523692
176	80.73810617
177	80.66837276
178	80.62715725
179	80.59109845
180	80.56858308
181	80.53935073
182	80.4866633
183	80.39438485
184	80.37128197
185	80.35672471
186	80.26029979
187	80.16257743
188	80.07415308
189	80.04518123
